全场最高能：233:53	技不如人了吧

其他高能：
 378:34 - 379:17	那还怎么抠	(抠,切割,委屈)
 382:06 - 384:13	喜欢主播可以走马灯卖电脑未成年退款支持主播哦[哇]直播间搞黄可以进胖哥群[比心]	(哑铃,主播,铁)
 385:08 - 385:28	乐	(空军,乐)




 386:38 - 387:32	你不把列阵兵抓了	(把,列阵,系)
 389:13 - 390:38	什么时候把一千次对战那个任务过了[dog]	(时候,过,])
 393:01 - 393:43	主播你100W也不算什么，15次巅峰赛也100W	(100W,也,不算什么)
 395:00 - 395:09		()
 395:14 - 396:48	又 被群殴了	(去,吗,懒得)
 396:57 - 397:10		()
 397:24 - 397:44	拼死拼活不给回复	(回复,拼死拼活,给)
 401:47 - 402:01		()
 402:35 - 402:45	是任天堂员工没错了	(没错,员工,任天堂)
 402:58 - 403:08		()
 404:02 - 404:32		()
 406:28 - 406:36		()
 410:35 - 412:48	马上日落西山了	(你,喜悦,日落西山)
 415:56 - 416:31	寻他[哇]	(寻,他,哇)
 419:35 - 420:39	喜欢母狮子的大地之力吗	(喜欢,逃走,嘞)
 421:18 - 422:01		()
 432:14 - 433:28	我49级卡在一千场战斗了，不想打了	(了,49,学习机)
 453:51 - 455:28	(〜￣△￣)〜.	(￣,〜,△)
 458:27 - 460:11	孙孙的陌路	(陌路,地龙,孙孙)
 465:02 - 465:51		(啃,老)
 467:11 - 468:36	笑死	(笑,死,咋)
 469:08 - 469:57		()
 470:37 - 471:59		(殿龙,龙,不是)
 473:37 - 475:10	这一代还是回合制对战吗	(回合制,一代,对战)
 476:10 - 478:02	你在干嘛呢 怎么不用无敌时间用精灵球	(怎么,攻击,师)
 478:47 - 480:18	那咋了 让你多享受点游戏时间	(享受,小鸟,时间)
 484:44 - 485:56	主播明明是猪却要说自己是熊	(是,要说,却)




 492:14 - 492:50		()
 493:11 - 493:32		()
 493:33 - 496:07	抓牛[dog]	(花蓓蓓,手游,抓牛)
 519:16 - 519:25		()
 523:24 - 526:54	太狠了 居然还在直播	(了,直播,敬业)
 527:19 - 532:05	才八小时就大惊小怪的，我还以为80小时了呢	(妙,],[)
 535:12 - 535:35		()
 537:48 - 538:56	怎么还有这么多蓝色叹号	(蓝色,叹,号)
 545:26 - 546:06	走马灯	(走马灯)
 549:30 - 550:45	求问这是啥游戏啊 宝可梦吗	(宝可梦,？,求问)
 550:58 - 551:30		()
 552:17 - 552:49	HOW	(HOW)
