全场最高能：79:51	技不如人6500

其他高能：
 441:58 - 442:11	主播改天借个ns1再战吧，我们都认可你了	(再战,改天,认可)
 442:16 - 442:37	不会真的是暂停一次少一帧吧[dog]	(图干,最初,？)




 442:42 - 443:04	阿姨好	(。,不,几乎)
 443:29 - 447:06	为啥我的ns2迁移了，ns1一样用啊	(ns1,还,用)
 449:25 - 450:04	我是从双方脚踏上砖块时开始计算的	(帧,是,穿墙)
 450:24 - 451:06	待会又要被点名了	(待会,严谨,行)
 451:15 - 452:54	我对比的是孙子说的踩上砖块加速和空气加速的区别	(的,加速,轴)
 453:02 - 453:43	等切片的时候我给你盯帧比一下	(的,真是,ns2)
 453:50 - 454:48	都不用借账号，用这个账号登旧ns1把游戏下回来就行	(账号,有时候,踩)
 470:17 - 470:42	[妙]肝同一个图 而且没思路 你以为他还年轻	(年轻,思路,同一个)
 471:05 - 471:38	第二个开关那里要不要顶砖加速的	(导致,喷火,屁股)
 477:31 - 477:56		()
 478:16 - 478:21	还在打这个图	(五个,睡,了)
 478:54 - 479:02		()
 479:06 - 479:57	问就是机器问题	(没人,五个,问)
 492:40 - 494:58	[手机]哥 你发现没有 起跳高度不一样	(你,手机,大可不必)
 498:53 - 498:58	自重	(自重,走马灯)
 499:10 - 499:43	检测到抗日能量不足	(能量,检测,不足)
 500:34 - 501:15	走马灯	(走马灯)
 501:48 - 503:30	我就知道早上起来孙子还在这图里	(走马灯,这,我)
 506:04 - 506:42	孙孙早点睡吧，这个图用奇侠的录像吧	(图用,吧,奇侠)
 507:41 - 507:59		()
 515:10 - 517:55	那你快换啊	(换,你,了)
 519:24 - 520:13	48小时了，主播还没睡呢	(48,多久,手机)
 522:07 - 522:19		()
 523:17 - 528:45	4000这是出几次了	(了,流畅,？)




 530:37 - 532:02	[花]你是要主播旋转一下吗	(捂脸,],[)
 532:51 - 534:59	没有我可以寄一个给你，看你直播手痒买的吃灰一年了	(link,，,吗)
 540:31 - 543:07	你说的楼梯卡一下是指地面有摩擦力吗	(是,！,T)
 547:08 - 547:10		()
 550:43 - 550:47	我感觉操作难度更低一点吧	(难度,低,一点)
 553:20 - 554:45	主播我用我的ns1和你的ns2换，这样就能过了	(的,换,我)
 557:18 - 559:55	因为隔壁有人送跑车了锁了这张图	(了,，,有人)
 561:27 - 562:02	我去看看白胖 关键字搜什么	(就,关键字,四十分钟)
 563:44 - 566:08	去看了胖的，感觉操作和主播没什么区别	(不,了,过)
 566:26 - 566:46	我刚醒啊[妙]	(到处跑,刚醒,])
 567:29 - 567:40		()
 570:04 - 570:16	主播出过几次4000	(好多,播出,几次)
 570:26 - 572:49	那踩炮台那一下会不会有影响	(会,不会,那)
 573:19 - 573:20		()
 576:09 - 578:16	有没有一种可能设置个虚拟卡就能玩了	(，,吧,应该)
 583:46 - 586:05	问题来了，这个高度好像做不到不踩吧	(踩,了,你)
 586:21 - 586:54	不好意思我没有机器	(落魄,真狠,不好意思)
 587:03 - 587:54	奇怪，刚又看了一遍，感觉主播的操作确实和胖一样	(，,了,耽误)
 588:59 - 591:42	不设置虚拟卡可以联网开游戏	(虚拟,卡,卡带)
 592:07 - 592:36	差多少不是问题，也有碰到斧头的没过过	(碰到,斧头,多少)
 593:01 - 594:36	不确定但是起码这么久是有了	(手机,缩写,是)
 595:22 - 595:32		()
 607:30 - 608:38	是不是太多暂停了	(继续,暂停,是不是)




 609:01 - 609:05	作者也是这样过得	(过得,这样,作者)
 611:22 - 612:54	不是早 是通宵了	(了,这,换)
 613:03 - 613:17	主播是任豚，不尴尬	(任豚,wiiu,尴尬)
 613:34 - 618:43	为什么没有走马灯	(你,金币,了)
 618:56 - 619:15	要我说不要角色直接就过了	(角色,就,过)
 619:47 - 622:03	换3DS早过了，你为什么不试试呢	(了,换,主播)
 623:11 - 623:30	那你就换ns1啊	(那,就,先别)
 625:27 - 629:17	主播你直播间不寄售二手卡带了吗[汤圆]	(了,主播,卡带)
 631:41 - 633:01	换个比孙子白一点胖一点的主播就过了	(ns1,汤圆,了)
 636:52 - 637:08	主播最长连续播过多少小时	(播过,最长,颤抖)
 637:17 - 638:31	主播去年不还连打了20小时黑神话	(了,打,？)
 650:44 - 652:11	过了	(了,没有,还)
 655:01 - 657:31	之前看到这种图都是直接跑的，这次是被送礼物锁图了	(了,HOW,吧)
 664:54 - 666:00	钱已经被主播变成拼好饭了	(孙子,钱,胖哥)
 668:43 - 669:38	主播要不去看一集走马灯再来打吧，放松一下	(?,？,炮台)
 671:43 - 671:49	世上没有完美的东西，就像主播的py	(py,世上,像)
 674:39 - 677:35	主播这是进雅阁了吗，怎么困在这关出不来了	(了,还,过)
 680:47 - 683:56	感谢懒懒的白胖呀在直播间开通的皇帝，主播更爱你呀	(了,的,8)
 686:02 - 686:39	没出数字是差两帧	(🚾,233,以上)
 688:34 - 691:06	6666x22	(666,记录,了)
 691:57 - 692:51	下午两点那场我也在，去小桀直播间拱火被封了[花]	(了,下午,灯)




 706:31 - 707:35	灯顶x34	(灯顶,！,666)
 707:46 - 708:39	再不走尸体就不健康了	(尸体,祝您,最后)

