全场最高能：175:01	画面变化一快就掉帧，恶心死了

其他高能：
 379:35 - 380:11	你看是不是	(笑,是不是,死)




 381:13 - 381:27	下把能搏成功吗	(搏人传,成功,搏)
 381:49 - 382:12	是不想搏还是搏不起来	(搏,上墙,拉戾)
 388:26 - 390:54	好配合	(士,大戾,了)
 391:00 - 391:10	希望还会被围殴	(还会,希望,围殴)
 392:44 - 394:13	所以弹幕也该喷就喷，待会主播登顶就喷不了了	(喷,了,，)
 394:27 - 394:40		(从来,没见,东西)
 394:51 - 395:44	帮爱牛练号呢，到时候狙别的主播用	(箱,别的,狙)
 395:49 - 395:50		()
 395:57 - 396:56	是不是主播下播玩掉分不好意思说	(也,，,百倍)
 397:32 - 397:57	好	(神雷,！,LOSE)
 398:10 - 398:19	进鱼塘了	(鱼塘,进,了)
 399:46 - 402:03	可惜有惯性	(裤子,主播,吧)
 406:29 - 407:11	第八金蘑菇	(很准,欠,第八)
 410:54 - 413:03	那咋了	(了,那,走马灯)
 413:05 - 413:32	打压大聪明	(比奥,奇诺,yeah)
 414:48 - 416:14	打了你又不高兴	(打,了,哇)
 419:54 - 420:24	还不来蓝龟吗	(蓝龟,不来,故意)
 422:51 - 424:25	那位置可以早点用金蘑菇，打雷完你都走完了[花]	(？,第三,])
 434:53 - 435:55	这两道具有什么换的必要吗	(🐄,哇,])
 436:26 - 436:39	的士司机炮弹	(郎,司机,的士)
 438:09 - 439:06	别急，这是主播的大局观[花]	(花,],[)
 442:56 - 443:10	大局观[哇]	(HHHHHHH,大局观,哇)
 443:26 - 443:42	没有jj	(哈哈哈,少,GG)
 443:45 - 445:15	一共六个人	(六个,一共,其实)
 449:47 - 450:31	小馋猫，又来吔蓝龟啦[比心]	(，,没币,吔)




 452:13 - 453:48	其实给个蘑菇也超不了他[花]	(大哭,],[)
 458:54 - 462:43	你第8名拿到的，第十一就能高级道具[花]	(],[,吧)
 467:38 - 468:00	闪电加蓝龟 太爽啦	(太爽,加蓝龟,啦)
 469:05 - 470:42	咱就不能不漂移拿个第4名道具吗[摊手][傲娇]	(],[,名)
 474:09 - 475:20	我没睡不是很正常吗[花]	(睡,],[)
 476:58 - 478:54	戾气太重，上不去分很正常，主播可以去前单位看看马造区最强选手的直播控制戾气	(11,名,气)
 480:30 - 481:09	主播地裂一直不重是不是因为抗日太多，导致被日本公司做局了	(做局,日本公司,导致)
 484:52 - 487:11	全都是大局观[花]	(？,大局观,了)
 488:00 - 488:02		()

