全场最高能：686:29	大师球上面是冠军啊，你也不看看这游戏叫啥

其他高能：
 3:44 - 5:08	你是真饿了	(了,？,男)
 341:43 - 342:23	哈哈哈哈哈哈miss	(哈哈哈,miss,哇)
 345:01 - 345:06	断崖之剑警告[dog]	(警告,之剑,断崖)
 347:39 - 348:15	韩国人确实阴险	(好,牛蛙,减半)




 348:47 - 348:53	对面挺会	(多次,挺会,了)
 352:15 - 353:39	适合喜欢对战的玩家入手[dog]	(],[,的)
 354:13 - 355:10	站的好近，感觉好挤啊[捂脸][捂脸]	(，,了,？)
 359:07 - 359:18	水盆都快打死了	(水盆,打死,快)
 362:46 - 362:52		(玩游戏,放弃,忌讳)
 363:07 - 363:21	走马灯	(?,？,HOW)
 374:27 - 374:49	那咋了	(早就,开播,了)
 377:48 - 379:18	...哈哈哈哈哈哈哈哈哈哈哈哈哈哈	(哈哈哈,？,])
 385:11 - 386:25	这个有za的mega进化吗	(za,的,1)
 386:48 - 388:02	好了	(了,好,哈哈哈哈)
 388:30 - 390:30	看来任天堂是真的怕洛克王国了才出这个	(？,home,打雷)
 390:36 - 392:41	666我不诋毁了，确实得打雷	(了,打雷,火放)
 395:51 - 396:18	666	(666)
 396:32 - 396:44	击掌你呀	(胆量,平台,击掌)
 402:59 - 403:05	主播把魔爪当水喝，不需要睡眠	(当水,魔爪,喝)
 403:37 - 406:20	被消灭了	(消灭,了,])
 410:16 - 410:39	好miss	(miss,哈哈哈,猜到)
 411:33 - 411:39		()
 414:58 - 415:04	多拉贡荡斯	(贡荡斯,多拉)
 415:19 - 419:28	选多龙的时候预言成真了[dog]	(了,],[)
 420:39 - 423:37	笑死我了	(了,哈哈哈,你)
 423:54 - 424:04		()
 424:11 - 425:45	所以你y喷是极速吗	(极速,胖来,你)
 426:15 - 426:17	主播这么嚣张叫宝可梦冠军	(嚣张,学胖哥,叫宝)
 437:20 - 439:05	大戾士	(大戾,士,么)




 443:29 - 443:50	这什么游戏	(发火,抗,随便)
 445:50 - 445:55	走了	(寄,不行,走)
 447:54 - 448:59	主播这火神是异色炫彩吗	(花,],[)
 449:44 - 450:42	直接给拔线了[笑哭]	(哈哈哈,。,拔线)
 455:13 - 455:22	hhh，还真是	(李,詹姆士,hhh)
 455:44 - 455:53	起飞了	(飞行,哈哈哈哈,起飞)
 455:56 - 456:04	不知道吗	(皮可西飞,妖,知道)
 456:43 - 457:01	复制一下看看特性[dog]	(云主播,复制,看看)
 458:07 - 460:06	我要笑死了	(哈哈哈,LOSE,])
 460:32 - 462:02	多龙还不换，背景这么硬[dog]	(],[,不)
 462:24 - 463:27	谁告诉你喷火龙是龙的	(造,2,龙)
