全场最高能：24:57	主播能只用tspin和长条消除赢一把普通吗 赢了上舰

其他高能：
 319:06 - 320:49	理论上可以，就是做一个专门给hdmi的系统就好了	(的,偶像,打)
 321:36 - 322:52	主播我用热熔胶做个竖琴，你会弹吗[哇]	(主播,吹,乐器)
 329:28 - 330:26	弹幕是小瞧的人类的极限了	(有人,是,乐队)




 330:39 - 330:59	感觉有点超人类了	(超,人类,有点)
 331:29 - 332:20	这跟非洲草原上上的马赛人有什么区别	(上,350bpm,人有)
 337:17 - 338:17	我是22岁女大	(女大,车万曲,岁)
 341:44 - 342:07	那还要管其他鼓众的生活	(走马灯,久,鼓众)
 356:29 - 357:16	怕打字速度太快损坏打字机给把顺序打乱了	(之一,没关系,打乱)
 357:39 - 357:56	白银松饼	(白银,松饼)
 362:40 - 363:09	点个Zou Ma Deng	(听车,算数,Deng)
 363:25 - 363:37	吧啦诶地	(ナ,イ,地)
 363:59 - 365:29	这几首可以说是喜欢你的起点了	(哇,],[)
 366:40 - 369:49	类似于音乐会员  你不买救没办法听绿钻的歌	(买,？,游戏)
 370:38 - 372:19	主播你的机器怎么变日版了	(鬼畜,最终,真有)
 376:51 - 377:05	然后打稀烂跑路了	(路,稀烂,跑)
 380:27 - 385:08	我听你讲五六遍了	(了,],[)
 385:14 - 386:10	爽了	(回来,了,讲)
 387:26 - 389:42	其实我听了好几遍每次都想问你个问题，为什么这两首不自己剪出来[看]	(哈哈哈,了,异议)
 395:56 - 395:59		()
 409:54 - 411:05	哎. 说多了都是泪. 十年之前我们是朋友	(我,五年,.)
 415:42 - 416:07	我还以为买个敲鼓机回家了	(房子,回家,鼓机)
 420:53 - 425:08	我第一个电影院看的是绀青之拳	(的,我,是)
 425:22 - 425:49	给我吓醒了	(篇,贝克,神)
 426:05 - 426:34		(剧情,为了,硬编)
 428:21 - 429:08	我也发现[花]怎么这么熟[花]	(花,怎么,])




 432:13 - 433:11	戛纳了, 今天似乎学会了母函数和attention模块, 大家晚安	(比心,,,])
 439:52 - 440:41	给你搓搓手[看]	(厉害,],[)
 444:28 - 444:35		()
 445:05 - 445:50	我喜欢看他打双龙还有一个原因是确实好听[看]	(看,原因,好听)
 452:18 - 452:43		()
 454:21 - 454:29		()

