全场最高能：185:46	就是，之前不是还有个50的sc吗

其他高能：
 344:56 - 345:04	7000大佬也没有了，主播马上7000都没有了	(7000,没有,了)
 346:08 - 347:54	主播的爱牛怎么不让肉啊	(哈哈哈,哈哈哈哈,原来如此)
 348:34 - 349:17	你是对的喵	(8000,叛逆,主打)
 349:26 - 349:33		()
 349:58 - 350:23	马车排几把送分主播还回去	(飙车,玩麦麦,送分)
 353:58 - 354:04		(显得,小屏,专业)
 370:51 - 371:03	孙孙晚安喵，睡觉了喵，哦呀斯密喵[比心]	(喵,斯密,，)
 371:13 - 371:21		()
 372:12 - 372:25		()
 373:10 - 374:13	嗯呐，我会的[比心]哦呀斯密[比心]	(比心,],[)
 374:51 - 375:00	说tmsmn	(tmsmn,说)
 375:14 - 375:22		(懂,了)
 375:46 - 376:04	前两天不是还嫌弟弟打呼噜声音大吗	(打呼噜,嫌,？)
 377:49 - 378:23	好家伙，加入主播还花呗的行列了	(花,行列,加入)
 378:37 - 379:38	我刚刚看ns去了	(？,解答,我)
 381:27 - 383:15	柳田樱给他配了个高配电脑	(他,电脑,了)
 384:58 - 387:13	当时他说两个月花了两万我直呼和主播前女友真像[花]	(我,花,还)
 387:18 - 387:30	好久没看🉑️	(🉑,好久没,️)
 387:40 - 387:50		()
 389:24 - 389:48	什么牌子推荐一下	(什么,推荐,牌子)
 391:06 - 391:09		()
 391:22 - 392:19	我也想吃披萨[傲娇]	(披萨,我,出事)
 392:49 - 393:49	我可以错过披萨，但是我不能错过故事会啊	(？,错过,…)




 394:23 - 395:13	二手蘑菇是新的还是继承原来的进度	(的,二手,蘑菇)
 400:37 - 400:43	三蘑菇	(三,蘑菇)
 400:49 - 401:06	这龟壳打的	(ztmex,士,大戾)
 419:41 - 421:29	刚睡醒，怎么还在车[花]	(躲,灯顶,羽毛)
 429:58 - 430:54	第一被你打淘汰了，你这蓝龟就必须扔么	(～,关了,你)
 431:05 - 434:37	松饼开小号说的	(松饼,？,哈哈哈)
 436:04 - 436:53	肥蕉不流外人田	(外人田,不流,肥蕉)
 439:08 - 439:52	无敌星能躲蓝龟吗	(星能,无敌,躲)
 441:56 - 445:11	加纳啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,你,白白胖胖)
 447:59 - 449:53	宝可梦里面有个牛也会喝奶	(喝牛奶,牛,那)
 451:48 - 452:20	玩这个游戏就是为了撇这PJB回旋镖	(回旋,撇,天行者)
 452:36 - 454:46	两个都是同宗的	(哈哈哈,士,大戾)
 459:20 - 459:31		()
 461:09 - 461:12		()
 463:19 - 464:56	后面有蘑菇不很正常吗	(蘑菇,正常,dog)
 470:38 - 471:17	主播最爱回旋镖	(选爱牛,人物,最爱)
 471:34 - 471:40		()
 472:11 - 472:23	胖哥多爱你	(看不见,第一名,马灯)
 472:42 - 475:14	回旋镖	(回旋,镖,^)
 476:16 - 476:43		()
 480:04 - 480:43	大戾士	(精彩,卧槽,哈哈)

