全场最高能：114:42	哇，灯顶

其他高能：
 333:06 - 334:03	还以为使触发日墙底层代码了	(！,日墙,了)
 338:27 - 340:06	不会拿着闪电输了吧	(在,着,不会)
 340:49 - 342:04	还回来吃饭吗[哇]	(该,],[)




 343:17 - 343:31	为啥两个kiki777	(kiki777,为啥,两个)
 345:16 - 345:32	这555怎么还在打za，赶紧牛车	(za,赶紧,傲娇)
 345:38 - 348:12	你我猜到了，我好奇松饼怎么知道的	(],[,了)
 350:39 - 352:25	哇灯顶	(！,],[)
 353:30 - 353:37		()
 362:02 - 363:36	哇 灯顶	(！,666,的)
 363:50 - 364:27	活人局	(的,帧,壳)
 365:41 - 365:58	555不在主播上的都是假分	(假分,555,上)
 370:04 - 371:17	直接保送没玩明白的了	(委屈,？,])
 371:43 - 375:41	都是主播sound，不然555早9000了	(555,蒙,！)
 376:53 - 377:01		(？)
 377:05 - 378:34	555给你搞热熔胶了	(啊啊啊,555,？)
 379:40 - 379:45	还好有美食	(还好,美食,有)
 381:36 - 384:45	今夜是登顶之夜	(！,羽毛,了)
 390:07 - 390:44	爱孙法力无边	(捂脸,],[)
 392:42 - 393:50	技不如人，甘拜下风	(！,LOSE,技不如人)
 402:46 - 404:18	6人的组队房天天就加那么几十分bot局真难为他们了	(了,哈哈哈哈,勇夺)
 414:37 - 415:11	怪卖电脑的	(这回,怪卖,])

