全场最高能：306:50	好  支持

其他高能：
 222:42 - 225:02	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(],[,主播)
 225:09 - 227:41	讨厌主播的可以走马灯和找同事搞黄一下哦，送火箭可进粉丝群体验十周年爆料喵[比心]	(了,],[)
 250:10 - 250:20		()
 259:16 - 259:30	看看之前那个没看懂的	(绘之音,没看,之前)
 259:34 - 259:48	灯顶	(奠,灯顶)
 265:57 - 266:00	#ZMD	(ZMD,#)
 266:07 - 267:13	主播提示观众该走马灯了	(走马灯,走,舰长)
 268:09 - 269:11	标题写了啊，顶两次开关就死，不看标题还骂作者	(标题,士,大戾)
 271:26 - 272:27	读图能力不如panga	(能力,读图,没有)
 275:57 - 276:04		()




 279:06 - 279:45	好，运气不错	(恨透了,吓人,作者)
 280:26 - 280:30		()
 286:19 - 287:46	时间好极限	(好,],[)
 288:06 - 288:24	斜坡	(斜坡)
 288:31 - 289:03	坐莲的币结算慢，这个机制也挺搞的	(孙孙累,币,坐莲)
 289:35 - 289:44		()
 292:35 - 292:39		()
 293:00 - 296:09	我差2分就6000了，明天和主播一起登[dog]	(],[,dog)
 297:03 - 297:31	电来	(电来,55555,活人)
 305:17 - 308:25	好  支持	(好,666,马里奥)
 314:02 - 315:18	快到终点的时候再放火箭稳过	(亲亲,金河田,演技)
 316:03 - 316:25		()
 317:19 - 320:11	可惜了	(了,可惜,！)
 328:34 - 330:57	操作变形	(！,？,了)
 338:46 - 340:42	零食是什么，雅阁和美食的结合版吗	(推荐,LOSE,美食)
 341:49 - 344:06	使劲赢[哇]	(使劲,赢,了)
 349:10 - 349:17	主播又在消费过世同事	(过世,消费,又)
 352:36 - 355:13	三个直播间让一个外人拿了第一 就不能团结一下吗	(第一,打,？)
 362:33 - 365:13	这就是马里奥让等人 结果棋子给别人摸了 自己还没喝到汤	(？,在,哈哈哈)
 365:31 - 365:51	还是太菜了[花]	(太菜,还是,花)
 366:15 - 366:30	马上胖哥就给你偷了	(硬气,癔症,京城)
 366:42 - 366:47		()
 367:38 - 368:20	火箭不会在拐弯停下	(必有车,停下,拐弯)
 372:29 - 374:36	技不如人[哇]	(技不如人,LOSE,低保)
 382:29 - 383:44	555好稳定啊 把把都是垫底晋级	(LOSE,i,蓝龟)




 383:47 - 384:00	瞎操心，人家遥遥领先和你又没关系	(瞎操心,没关系,真菜)
 390:25 - 391:34	主播有人刷火箭了 快跟我們講你跟超級小桀的愛恨情仇	(🚀,LOSE,该)
 397:09 - 397:26	你是为了上车所以故意掉下去的吗，我看懂了[哇]	(亡,我,了)
 398:14 - 398:20		()
 402:08 - 402:40	今天灯顶了吗	(99,灯顶,今天)
 404:55 - 409:28	有语音输入了[dog]b站最近更新的	(🚀,dog,])
 410:38 - 412:11	有牛	(🚀,666,灯)
 429:38 - 430:38	mariou控时专家	(鱿,小,想起)
 431:27 - 431:50		()
 435:32 - 436:23	仨都没进去	(组排,三剑客,仨)
 438:38 - 442:33	这种游戏就很运气的呀  你又不能控制对面道具是啥  运气不好被连发道具你还是输	(士,大戾,用)
 444:11 - 446:38	你燈頂了 我止步十四[委屈]	(],[,抱抱)
 447:57 - 449:18	马上就倒霉了	(倒霉,马上,就)
 450:21 - 451:18	爱孙又来了	(爱孙,8500,目标)
 454:05 - 454:53	胖哥厉害	(胖哥,厉害,吐血)
 459:07 - 461:23	哇，灯顶	(了,蘑菇,？)
 462:14 - 463:30	蒙的	(惊讶,],[)
 479:42 - 481:33	好[哇]	(好,脸,不要)
 485:01 - 485:11		()
 485:14 - 485:33		(打压,isun)
 489:07 - 490:13	惠普倒了	(惠普,倒,了)
 490:59 - 491:05		()
 491:18 - 492:34	可爱捏	(疯,了,])
 492:45 - 497:31	你还管上粉丝的生活了[哇]	(了,的,死)
 511:36 - 511:59	走马灯	(走马灯)




 512:12 - 513:18	能同时拿到这两个，感觉比闪电概率还低了[花]	(],[,哇)
 522:15 - 525:03	LoveNiu来了	(666,了,LoveNiu)
 529:56 - 534:31	一场比赛 哪有劈一次孙子有意思 如果有 那就是劈两次[大笑]	(],[,劈)
 543:44 - 545:35	身体健康再见	(么,身体健康,被害)

